Location,Date,Average temperature,Lowest temperature,Highest temperature,Precipitation,Wind speed,Dew point,Relative humidity,Vapor pressure,Spot atmospheric pressure,Sea-level pressure,Duration of bright sunshine,Solar radiation quantity,Maximum depth of snow cover,Maximum depth of new snowfall,Amount of cumulus,Amount of middle and lower cloud,Average temperature of ground,Total large evaporation,Toal low evaporation
143,2017-06-23,26.6,20.2,33.8,,2,15.9,55.5,18.2,999.9,1005.9,9,22.92,,,4.8,2.1,33.7,5.6,8
143,2017-06-24,25.8,20.4,33.2,0,1.8,15.6,56.3,17.8,996.7,1002.7,5.1,19.44,,,8,3.9,33.3,4.8,6.9
143,2017-06-25,23.5,19.7,29.7,51.5,2.4,17.8,73.4,20.5,996.6,1002.7,5.1,15.93,,,7.3,3.8,29.1,3.2,4.5
143,2017-06-26,21.9,19.7,26.8,12,2.5,19.3,86.5,22.4,1001.7,1007.9,2,12.7,,,9.9,7,26.3,2.5,3.5
143,2017-06-27,23.9,20.1,28.5,0.1,1.8,18.2,73,20.9,1004.3,1010.4,3.9,17.85,,,8.9,6.1,26.8,3.8,5.5
143,2017-06-28,25.9,19.7,32.7,,1.3,17.7,63.6,20.3,1005.6,1011.6,9,24.46,,,4.9,1.8,32.7,4.9,7
143,2017-06-29,25.2,21.2,29.6,0.1,1.2,19,70.3,22,1005.2,1011.3,2.9,14.82,,,8,1.5,31,3,4.3
143,2017-06-30,27.1,21.5,32.7,0.2,1.6,20.2,68,23.7,1001.8,1007.8,6.6,19.85,,,7.1,4.9,31.7,4,5.7
143,2017-07-01,27.5,24.9,30.5,0.5,1.7,21.8,72.5,26.2,1001.5,1007.5,0.3,9.56,,,9,3.3,29.5,2.4,3.5
143,2017-07-02,27.4,23.7,31.1,2.5,1.1,23.2,78.5,28.4,1002.3,1008.3,0.9,9.64,,,8.9,5,27.7,2.2,3.2
143,2017-07-03,28.7,25.7,34.3,1.5,2,22.5,70.6,27.3,1000.4,1006.4,3.1,14.32,,,9.5,5.5,34.5,3.3,4.8
143,2017-07-04,26.4,24,32.1,0.3,1.6,22.9,81.9,27.9,999.8,1005.8,1.3,11.4,,,8.1,5.4,29.5,2.7,3.8
143,2017-07-05,27.4,22.7,33.1,,2.2,21,70.5,24.9,1003.9,1009.9,6.1,19.89,,,7,5.4,34.3,4.2,6
143,2017-07-06,26.9,23.4,32.8,,1.7,22.2,76.9,26.8,1004.4,1010.5,2,14.45,,,7.6,4.3,31.8,3.3,4.7
143,2017-07-07,26.8,24.4,29.2,1.5,1.2,23.2,81.6,28.5,1003.2,1009.3,0.8,9.18,,,8.8,5.6,30.7,1.6,2.3
143,2017-07-08,26.8,25,29.7,6.5,1,23.9,84.6,29.6,1001.7,1007.8,0.5,8.85,,,9.3,6,30.1,1.9,2.7
143,2017-07-09,29.3,25,35.4,,1.4,23.5,72.9,29,1000.6,1006.5,5.9,19.12,,,8.4,5.4,34.7,4,5.7
143,2017-07-10,29.5,27.2,32.6,0,2,23.2,69.4,28.4,997.3,1003.2,0.6,10.44,,,9.3,8,32.2,3.4,4.8
143,2017-07-11,29.7,26.8,34,,2.7,21.5,62.5,25.7,1000.7,1006.6,6.2,18.9,,,6.4,3.3,33,4.7,6.8
143,2017-07-12,30.6,25.9,35.9,,2.7,20.2,56.6,23.8,1003,1008.9,11.8,25.28,,,1.8,1.8,39.4,6.4,9.1
143,2017-07-13,30.8,24.3,37.2,,2.2,19.9,55.5,23.3,1000.9,1006.8,13.1,26.85,,,0,0,39.6,6.9,9.9
143,2017-07-14,28.2,23.1,35.8,10,1.9,21.9,71.3,26.3,1002.3,1008.3,6.2,16.09,,,5.4,3.6,33,3.3,4.7
143,2017-07-15,26.3,23.7,30.9,3,1.4,23.2,84.3,28.5,1004.5,1010.6,0.5,10.08,,,9,3.1,27.2,2.2,3.1
143,2017-07-16,28.7,24.8,34.5,0,1.7,23.2,74,28.5,1005.9,1011.9,3.9,16.12,,,7.8,3.4,30.3,4,5.7
143,2017-07-17,27,22.8,33,3.5,2,22.4,77.9,27.1,1006.1,1012.2,2.2,13.47,,,8.9,4.5,29.7,3.3,4.7
143,2017-07-18,27.6,23.3,32,,2.2,22.6,75.6,27.5,1003.1,1009.1,5.1,17.29,,,6.3,2.6,29.4,3.7,5.3
143,2017-07-19,29.6,23.9,35.2,,1.5,22.1,66.9,26.7,1000.2,1006.2,9.2,21.93,,,4.9,4.9,33.8,4.6,6.6
143,2017-07-20,30.8,25.6,35.6,,1.5,22.7,64.5,27.7,1000.7,1006.6,10.4,22.82,,,3.5,2.3,35.8,5.1,7.2
143,2017-07-21,31.8,27.5,36.6,,1.9,23.9,64.9,29.8,1002.2,1008.1,8.4,18.12,,,4.6,1.8,35.3,4.3,6.2
143,2017-07-22,28.8,22.7,38.4,17,1.9,23.8,77.1,29.5,1003.3,1009.4,3.5,15.27,,,6,2.6,32.3,3.5,5.1
143,2017-07-23,27.7,22.5,31.9,0,1.3,24,81.3,29.9,999.4,1005.3,0,8.91,,,8.1,1.4,28.8,2,2.8
143,2017-07-24,28.5,26.4,35.9,11.5,1.2,25.5,85.3,32.5,996.5,1002.5,3.2,13.22,,,8.9,2.1,29.4,2.5,3.6
143,2017-07-25,25.9,24,27.9,3.5,2.6,23.8,88.4,29.5,998.2,1004.3,0.6,7.84,,,8.5,7.4,28.5,2.1,2.9
143,2017-07-26,25.4,21.9,30.1,,3.5,17.8,66.3,20.7,1002.7,1008.8,11.4,25.41,,,2.4,2.3,28.6,6.1,8.7
143,2017-07-27,26.4,19.1,33.9,,2.1,17.2,61.3,19.7,1002.4,1008.4,12.7,27.03,,,2.4,0.6,30.5,6,8.5
143,2017-07-28,28.2,21.9,35.4,0,1.9,20.5,65.4,24.2,1001.9,1007.9,6.9,17.15,,,7.6,3.6,31.1,3.6,5.2
143,2017-07-29,,21.5,26.2,30,3.1,,91.3,26,1002.7,1008.8,0,6.92,,,10,7.4,,1.6,2.2
143,2017-07-30,26.3,22,30.9,0.5,1.5,22.6,81.4,27.5,1001.8,1007.9,2.5,14.68,,,7.1,4.9,28.1,2.6,3.7
143,2017-07-31,24.8,23.7,26.1,13.5,1.5,23.9,95,29.7,1003.4,1009.4,0,5.28,,,8.4,4.5,26.6,0.9,1.3
143,2017-08-01,26.9,23.4,32.8,7.5,1.8,22.7,80.3,27.7,1004.2,1010.2,7.5,18.26,,,6.5,4,29.9,4,5.7
143,2017-08-02,26.4,23.2,31.3,,3.4,21.8,76.6,26.1,1002.4,1008.5,8.1,22.22,,,5.5,3,30.4,4.5,6.5
143,2017-08-03,26.9,22.5,32.1,,2.9,21.6,74.3,25.8,1000.3,1006.3,9,22.62,,,4.8,3.5,31,5.1,7.3
143,2017-08-04,29.3,24.3,35.6,,2.5,23.5,72.8,28.9,999.5,1005.5,12,24.42,,,3.1,3.1,33.1,5.3,7.5
143,2017-08-05,30.1,25.2,36.5,,2.8,24.1,72.5,30.1,997.3,1003.2,12,23.88,,,3,1.9,34.5,5.5,7.8
143,2017-08-06,30.9,25.8,37,,2.4,22.9,65.9,28.1,994.1,1000,11.4,24.51,,,3.4,2.4,36.9,5.7,8.2
143,2017-08-07,30.9,26.3,35.5,0,2.3,22.3,62.1,27,992.6,998.5,11.7,24.3,,,2.5,1.9,36.3,6.1,8.6
143,2017-08-08,29.9,24.8,34.5,0,1.9,20.8,60.5,24.7,993.3,999.2,6.6,19.94,,,5.8,3.5,33.7,4.6,6.6
143,2017-08-09,27,24.5,29.7,6,2.2,23.9,83.6,29.7,991.2,997.2,0.2,6.85,,,9.9,7.1,30.2,1.5,2.1
143,2017-08-10,24.7,23.6,26.2,24.5,1.8,24,96.1,29.9,994.2,1000.2,1.1,6.02,,,8.4,6.1,27,1.3,1.9
143,2017-08-11,26,22.8,32.3,1,2,22,80.1,26.5,1000.1,1006.2,8.4,20.51,,,4.6,4.4,29.3,4.2,6
143,2017-08-12,24.9,21.3,30.2,,2.4,20.3,76.9,23.9,1004.9,1011,7.3,18.68,,,4.1,2.5,28.4,3.6,5.2
143,2017-08-13,23.6,20.5,26.7,0,2.3,20.1,81.4,23.5,1005,1011.1,0.1,7.75,,,9.3,5.6,25.3,1.7,2.5
143,2017-08-14,22.4,21.3,24.2,65,2.6,21.4,95,25.6,1001,1007.1,0,4.33,,,10,7.9,23.8,1,1.5
143,2017-08-15,23.5,21.6,25.2,5.5,1.6,22.6,95,27.5,998.2,1004.3,0,5.03,,,10,8.3,25.4,1,1.4
143,2017-08-16,25.2,22.8,30.4,10,2.2,22.8,87.3,27.7,999.2,1005.2,4.3,14.76,,,8.1,7.8,28.7,3.2,4.5
143,2017-08-17,25.1,22,30.3,17.5,2.8,21.9,83,26.2,1001.9,1008,3.6,15.23,,,7.5,7,27.3,3.1,4.4
143,2017-08-18,25.5,21.8,31.1,9,1.4,22,82.3,26.5,1004.9,1011,5.6,17.14,,,7.4,3.1,29.3,3.1,4.5
143,2017-08-19,25.1,22.8,30.2,16.5,1.9,22.6,87.6,27.4,1006.4,1012.5,3.9,15.87,,,8.5,4.9,29.2,2.8,4
143,2017-08-20,25.5,23.2,29.3,0.5,2.1,23.3,88.4,28.7,1004.2,1010.3,1,9.72,,,9.6,4.5,27.5,2.1,3
143,2017-08-21,26.1,23.4,32,6,1.6,24.4,91.5,30.7,1002.8,1008.8,2.9,11.95,,,9.6,6.5,28.5,2.2,3.1
143,2017-08-22,27.5,23.7,33.5,0.2,1.3,24.6,85.1,30.9,1006.2,1012.3,6.5,16.59,,,5.9,5,29.3,3.2,4.6
143,2017-08-23,30.4,25.2,35.9,0,1.7,24.6,73.1,30.9,1006.1,1012.1,9.5,21.12,,,4.5,3.8,32.5,4.9,6.9
143,2017-08-24,31,26.2,35.5,1,3.4,23.5,66.4,29.1,1000.8,1006.7,9.1,19.42,,,6.5,4.1,32.7,5.1,7.2
143,2017-08-25,28.6,24.1,33.7,1,1.9,18.9,61,22.9,1001.5,1007.5,8.4,19.45,,,5.4,2.6,31,5.3,7.6
143,2017-08-26,25.5,20,31.4,,2.3,13.1,50,15.3,1006.8,1012.8,11.5,23.89,,,2.1,0.8,29.5,5.7,8.2
143,2017-08-27,23.7,16.9,31,,1.8,14.9,61.1,17,1008.8,1014.9,11.2,23.44,,,3.1,1.4,30.1,5,7.1
143,2017-08-28,26,19,32.3,,1.4,18.6,66.6,21.6,1005,1011.1,10.5,21.43,,,4.3,0.4,32,4.5,6.5
143,2017-08-29,26.1,21.4,30.9,0.1,2.4,14.5,53.4,17.6,1005.2,1011.2,10.9,23.81,,,4.3,2.6,32.1,5.8,8.3
143,2017-08-30,21.9,19.4,25.6,0,2.2,10.7,49.9,13,1006.3,1012.4,1,10.97,,,8,4.5,26.2,3.2,4.5
143,2017-08-31,21.9,15.5,29.1,,2,13.7,62.6,15.7,1005.1,1011.2,10.4,21.45,,,2.1,2,27.8,4.4,6.3
143,2017-09-01,21.2,17.2,27.1,,2.6,13.1,62.1,15.1,1006.3,1012.5,10.7,22.48,,,2.8,2.5,28.1,5,7.2
143,2017-09-02,20.6,14.6,26.5,,2.1,13.5,66,15.5,1006.9,1013.1,7.9,17.19,,,4.5,0.8,25.8,3.7,5.2
143,2017-09-03,21.5,14.8,27.9,,2.1,13.8,65.9,15.9,1009.3,1015.5,11.5,23.59,,,3.1,0.6,28.6,4.9,7
143,2017-09-04,22.3,17.6,28,,2.3,16.2,71.1,18.5,1009.6,1015.8,6.6,17.33,,,6.8,4,27.7,3.7,5.3
143,2017-09-05,21.4,18.4,24.8,0.5,1.2,18.8,86.4,21.7,1005.6,1011.8,0.1,6.56,,,9.1,5.8,25.5,1.2,1.7
143,2017-09-06,21.3,18.2,25.3,6,1.3,19.4,89.8,22.5,1001.5,1007.7,0.1,6.75,,,10,6,24.8,1.6,2.2
143,2017-09-07,22.5,18.2,28.3,0.5,1.6,17.4,74.9,19.9,1000.9,1007,5.7,15.13,,,5.9,4.1,25.2,3,4.2
143,2017-09-08,23.6,17.8,29.8,,1.2,17.3,70.6,19.7,1004.8,1010.9,8.4,19.36,,,1.6,0.9,26.8,3.7,5.3
143,2017-09-09,23.6,17.9,30.4,,1,16.3,68,18.6,1006.5,1012.6,8,16.5,,,3.9,0.5,27.4,3.1,4.4
143,2017-09-10,23.1,18,29.1,0,2,18,75.3,20.7,1007.5,1013.6,3.7,14.74,,,7.8,5.6,27.2,3.1,4.4
143,2017-09-11,20.9,19.4,22.7,35.5,1.9,19.7,93,22.9,1000.3,1006.5,0,3.41,,,9.3,5.4,22.3,1.1,1.5
143,2017-09-12,24.4,19.5,30,,1.9,16.1,62.9,18.5,1006.6,1012.7,11.3,21.64,,,2.4,2.4,28.8,5,7.1
143,2017-09-13,22.7,16.6,28.2,,2.1,11,51.6,13.3,1011.8,1018,12,22.59,,,0,0,27.1,4.8,6.9
143,2017-09-14,21.3,15.3,27.2,,2.3,14.4,68,16.4,1013.2,1019.4,11.4,20.84,,,2.4,1.1,26.6,4.3,6.2
143,2017-09-15,21,17.5,24.7,,3.4,12.3,59.5,14.4,1012.7,1018.9,7.3,15.79,,,8,4,24.2,4.3,6.1
143,2017-09-16,21.6,18.9,24.8,,2.9,14.3,64,16.3,1007.1,1013.3,1.6,10.24,,,9.1,3.6,22.7,2.7,3.8
143,2017-09-17,21.8,18.6,25.6,1,1.3,17.4,76.8,19.9,999.1,1005.3,0.5,6.04,,,8.1,6.6,22.4,1.7,2.4
143,2017-09-18,22.3,16.2,29.1,,1.4,14.2,64.5,16.3,1002,1008.2,10.2,19.53,,,1.6,1.4,29,4,5.7
143,2017-09-19,23.5,15.7,29.2,,1.6,15,61.3,17.1,1003.9,1010,6.9,15.56,,,4.5,2.3,26.5,3.9,5.5
143,2017-09-20,21.6,14.9,25.3,,2.6,10.9,53.1,13.4,1005.1,1011.3,5.2,12.79,,,5,3.3,25.1,3.3,4.7
143,2017-09-21,19.7,11.5,27.1,,1.3,11.9,65.3,14,1008,1014.2,10.8,19.03,,,3.1,1.3,26.1,3.5,5
143,2017-09-22,20.9,15.3,28,,1,13.2,66.1,15.4,1006.8,1013,10.4,19.14,,,3.9,2.3,27,3.5,5
143,2017-09-23,21.6,15.7,27.4,,1.1,14.2,66.3,16.2,1009.4,1015.6,7.7,15.59,,,6.4,3.5,25.8,3.1,4.5
143,2017-09-24,22.1,15.5,28.9,,1.2,16.1,71.5,18.3,1009.3,1015.5,9.3,16.31,,,2.1,2.1,26.6,3.1,4.4
143,2017-09-25,22.9,17.2,29.4,,2.3,15.3,66.3,17.6,1008.6,1014.8,9.8,18.31,,,0.6,0.1,28.3,4.3,6.2
143,2017-09-26,22.4,16.1,28.7,,2.2,16.2,70.6,18.5,1006.5,1012.6,9.4,18.15,,,4.5,3.8,29.3,3.5,5
143,2017-09-27,18.1,16.1,21.5,54,1.5,17.3,95.4,19.8,1000.5,1006.7,0,3.08,,,9.5,7.5,20.3,0.7,1
143,2017-09-28,20.8,17.6,26.7,,2.2,12.6,64.3,15.2,1003.4,1009.5,8,17,,,4.1,3,23.6,4.5,6.5
143,2017-09-29,17.4,13.5,22.2,,2.2,2.3,38.9,7.4,1011.4,1017.7,10.5,19.04,,,4.4,1.5,21.5,3.9,5.5
143,2017-09-30,17.4,9.2,26.5,,1.2,9.1,63.3,11.7,1016.3,1022.7,11,19.6,,,0.6,0,22.3,3.5,4.9
143,2017-10-01,16,11.7,19.4,2.5,1.4,12.9,83,15,1011.5,1017.8,0,5.49,,,8.9,6.1,17.8,1.1,1.5
143,2017-10-02,20.2,17.6,23.6,18,1.3,18.5,90.6,21.3,1003.7,1009.9,0,6.4,,,9.3,7.6,22.3,1.3,1.9
143,2017-10-03,19.5,17.1,24.2,,2.9,15.5,79.1,17.8,1010.7,1017,8.2,16.92,,,6.6,5.4,24.8,3.3,4.8
143,2017-10-04,17.9,15.6,21.6,,3.3,11.7,68,13.8,1016.8,1023.1,5.5,14.54,,,7.5,4.9,20.8,3.1,4.4
143,2017-10-05,16.5,13.5,20.2,0.1,1.6,11.2,72.3,13.3,1017.9,1024.2,0.1,6.89,,,8.9,5.5,18,1.5,2.2
143,2017-10-06,16,14.1,17.9,6.5,1,15,93.8,17.1,1012.4,1018.7,0,3.46,,,9.8,6.8,17.4,0.7,1
143,2017-10-07,20,17.1,23.9,,1.6,17,84.1,19.4,1013.5,1019.7,1.2,10.56,,,7.9,7.6,22.9,1.9,2.8
143,2017-10-08,21.3,16.5,27.7,,0.9,16.4,76.9,18.7,1016.3,1022.6,7.5,15.94,,,4.9,3.8,26.4,2.9,4.1
143,2017-10-09,22.5,16.6,29.1,,1,16.8,74,19.2,1014.9,1021.2,10.3,16.93,,,1.5,1.5,26.6,3.1,4.4
143,2017-10-10,22.7,18.1,28.3,,1.5,17.5,75,20,1012.3,1018.5,7.5,13.79,,,3.4,2.8,24.2,2.7,3.8
143,2017-10-11,20.3,17.2,23.6,,2,16.2,78.1,18.6,1010.7,1016.9,0.9,5.04,,,8.5,4.9,22.7,1.4,2
143,2017-10-12,14.8,13.9,17.4,27,1.3,12.5,87.1,14.5,1012.8,1019.2,0,1.74,,,9.8,3.8,16.5,0.7,1
143,2017-10-13,15.4,10.6,20.1,,2.5,5.1,53.8,8.9,1014.1,1020.5,10.2,17.62,,,3.6,0.9,16,3.6,5.1
143,2017-10-14,15.3,11.3,21,,1.8,6.6,58,9.8,1017.9,1024.4,7.5,14.56,,,6.5,1.6,16.4,2.8,3.9
143,2017-10-15,15.5,12.2,19,0.2,1.8,9.9,70.3,12.2,1020.4,1026.9,0.4,6.2,,,9,5.1,15.5,1.6,2.3
143,2017-10-16,15.8,12.3,19.6,,1.1,10.5,71.6,12.7,1019.3,1025.7,0.4,5.62,,,8.1,4.9,16.2,1.3,1.9
143,2017-10-17,15.6,9.7,21.3,,2.1,10.9,75.9,13.1,1018,1024.4,7.6,13.91,,,5.9,2.6,17.1,2.7,3.8
143,2017-10-18,16.3,14,19.6,0,2.3,8.8,61.8,11.3,1016.7,1023.1,0.4,6.34,,,9.6,4.5,16.3,1.8,2.6
143,2017-10-19,15.5,11.7,20.5,0,1.4,10.9,75.8,13.1,1012.6,1018.9,2.8,8.54,,,8.1,4.3,16.8,1.6,2.3
143,2017-10-20,15.6,11,21.9,,1.6,10.7,75.3,12.9,1012.2,1018.6,6,11.2,,,2.3,2.3,17.6,2.2,3.1
143,2017-10-21,15.3,9.7,22.2,,1.8,9.4,71.4,11.8,1010.8,1017.2,8.2,13,,,1.1,1,16.6,2.6,3.7
143,2017-10-22,16.8,11,21.8,,2.9,7.3,56.3,10.3,1004.7,1011,7,13.41,,,4.5,4.5,17,3.9,5.5
143,2017-10-23,14.4,10.5,18.9,,1.7,3.5,49.3,7.9,1011,1017.3,8.9,14.11,,,4.6,3.8,20.3,2.6,3.7
143,2017-10-24,12.5,8.9,17.5,,1.6,6.9,70.4,9.9,1017.7,1024.1,3.6,9.51,,,5.5,5.4,15.2,1.7,2.4
143,2017-10-25,12.5,6.4,20.2,,0.9,6.7,72.4,9.9,1018.1,1024.5,9.3,14.49,,,1.6,0.8,15.3,2.3,3.3
143,2017-10-26,12.5,5.8,19.3,,0.9,7.4,74.5,10.3,1015.2,1021.7,4,11.04,,,6.3,6.3,14.1,1.5,2.2
143,2017-10-27,15.2,10.4,22.2,,1.5,9.8,73.6,12.1,1013.5,1019.9,5.1,11.78,,,5.4,5.4,17.6,2.2,3.1
143,2017-10-28,15.8,10.8,20.7,,1.6,11.7,77.9,13.8,1013.4,1019.7,3.5,7.65,,,7.1,3.1,16.6,1.6,2.2
143,2017-10-29,14.7,8.9,21.5,,3.1,5.7,59.1,9.9,1008.3,1014.6,8.4,12.48,,,2.5,1.6,16.1,4,5.7
143,2017-10-30,9.7,6.1,14.8,,2.9,-6.7,31.4,3.7,1017.6,1024.1,10,15.31,,,0.1,0.1,12.4,3.2,4.6
143,2017-10-31,9.5,1.7,18.3,,1.1,-1.4,51.4,5.6,1018.2,1024.8,10,15.29,,,1.3,0,11.1,2.9,4.1
143,2017-11-01,12.1,5.1,19.6,,1.3,4.3,61,8.4,1014.8,1021.3,9.7,13.81,,,4.9,2.4,14.3,2.4,3.4
143,2017-11-02,13.6,8.8,20.9,,0.8,7.6,70,10.5,1011.7,1018.1,7.1,10.18,,,6.9,2.4,15.4,1.7,2.4
143,2017-11-03,13.2,7.9,20.4,0,2.2,6.9,68.4,10.2,1012.5,1018.9,5.3,9.22,,,2.6,2,13.2,2.7,3.9
143,2017-11-04,9.5,5.6,14.8,,2.4,-0.4,51.5,6,1020.5,1027.1,8,13,,,2,2,12.6,2.1,2.9
143,2017-11-05,9.1,3.3,16.4,,1.6,-0.5,55.6,6,1021.6,1028.1,9.9,14.33,,,0,0,10.3,2.6,3.7
143,2017-11-06,10,2.9,18.2,,1.2,1.7,60.1,6.9,1017.8,1024.3,9.4,13.37,,,1.3,0.5,11.1,2.3,3.3
143,2017-11-07,12.9,4.7,20.9,,1,6.6,68.4,9.9,1014.8,1021.3,7.3,11.13,,,5.4,0,13.2,1.8,2.6
143,2017-11-08,15.4,11,21.4,,2.7,3.4,51.4,8.5,1011.9,1018.3,8.4,12.21,,,2.1,0.3,15.5,4,5.7
143,2017-11-09,10.6,4.3,18.9,,1.1,1,54.3,6.6,1017.3,1023.8,9.5,12.49,,,0,0,12.3,2.1,3
143,2017-11-10,13,4.5,22.2,0,3.1,4.4,59,8.5,1009.4,1015.8,8.1,11.6,,,4,4,13.9,4.1,5.9
143,2017-11-11,7.9,3.2,13,,3.3,-6.6,37.8,3.8,1013.9,1020.5,9.6,13.56,,,0,0,10.1,2.5,3.6
143,2017-11-12,6.5,-0.5,14.7,,1.1,-4.2,50.9,4.5,1014.9,1021.5,9.2,12.76,,,2.5,0.9,8.1,2,2.8
143,2017-11-13,8.6,1.5,15.7,,1,-1.6,51.4,5.5,1011.4,1017.9,6.7,10,,,5.8,0.9,9.1,1.8,2.6
143,2017-11-14,10.6,6.6,15.8,,2.7,-2.5,42.4,5.2,1011.5,1018,8.8,11.3,,,1.4,0.4,10.3,3.3,4.7
143,2017-11-15,7,2.5,11.7,,2.9,-5.2,42.1,4.2,1013.9,1020.6,8.2,10.33,,,1.9,1.9,7.5,2.7,3.8
143,2017-11-16,4.9,1.1,10.3,,2.3,-8,40.5,3.4,1017.5,1024.2,9.5,12.65,,,0,0,6.8,2,2.8
143,2017-11-17,5.6,-2.2,11.4,,0.8,-5,49.1,4.3,1013.2,1019.8,4.5,7.08,,,5.9,3.9,5.4,1.5,2.2
143,2017-11-18,3.6,-1,9.1,0,4.2,-10.9,36.5,3.1,1013.2,1019.9,9.3,12.39,,,1.8,0.9,6.2,3.2,4.5
143,2017-11-19,1.7,-2.1,6.1,,3.8,-13.5,31.8,2.2,1019.4,1026.2,8.5,12.49,,,3.4,0,3.3,2.6,3.8
143,2017-11-20,4.6,1.7,9,,2.8,-8.5,39.9,3.3,1018.9,1025.6,9.1,12.28,,,3.8,3.3,6,2.2,3.2
143,2017-11-21,4.1,-2.2,11.8,,0.9,-4.5,56.3,4.4,1019,1025.7,9.3,11.73,,,0.8,0,3.9,1.7,2.4
143,2017-11-22,5.9,1.3,10.8,,1.4,-2.9,54,5,1011.7,1018.3,0.9,4.48,,,8.4,3.5,5.7,1.7,2.4
143,2017-11-23,3.4,0.1,7.2,,3.2,-8.6,43,3.3,1014.1,1020.8,6.5,8.87,,,2.5,2.5,2.6,1.6,2.3
143,2017-11-24,2.5,-1,7.8,0.1,2.2,-3.5,67,4.8,1017.8,1024.5,4.2,7.67,0.2,0.2,5.3,3.9,3.4,1.3,1.8
143,2017-11-25,3.3,-3.5,11.2,,0.9,-3.7,63.6,4.7,1019.8,1026.5,8.1,10.91,,,2.3,0.3,3.3,1.6,2.2
143,2017-11-26,6.6,2.1,14,0,1.1,1.7,73.4,6.9,1017.1,1023.7,4.8,6.61,,,1.8,1.1,4.8,1.1,1.6
143,2017-11-27,5.7,-0.6,13.3,,0.8,0.7,73.1,6.5,1019.4,1026.1,8.3,9.92,,,2.3,2.3,5.6,1.4,2
143,2017-11-28,8.4,1.2,15.5,,1,3.7,74.4,8,1015.3,1021.9,4.6,6.42,,,3.6,2.8,6.9,1,1.5
143,2017-11-29,9.4,4.6,14.3,,2.3,-3.6,46.3,5.1,1016.1,1022.7,5,8.47,,,6.9,6.1,8.6,3.3,4.8
143,2017-11-30,4.1,-0.5,8.2,,4.6,-16.8,20.5,1.7,1018.3,1025,7,10.33,,,3.4,3,6.6,3.7,5.3
143,2017-12-01,0.2,-2.6,4.4,,3.3,-16.2,29.9,1.8,1023.3,1030.2,9.2,11.95,,,0.1,0,1.2,2,2.8
143,2017-12-02,1.7,-4.5,8.4,,0.9,-9.6,44,3,1022,1028.8,8.9,10.53,,,2.5,1.4,2,1.5,2.1
143,2017-12-03,4.1,-3.1,12.8,,0.8,-3.4,59.9,4.8,1017.4,1024.2,8.6,9.63,,,3.4,1.6,3.5,1.3,1.8
143,2017-12-04,3.2,-1.4,8.2,,3.2,-6.6,52.1,4.1,1013.6,1020.3,6.3,8.14,,,4.5,3.8,4.1,2.4,3.4
143,2017-12-05,-1.4,-4.1,2.3,,4.1,-15.1,36,2,1015,1021.9,9.2,11.45,,,0.1,0.1,-0.2,1.9,2.8
143,2017-12-06,0.1,-5.5,7.1,0,1.1,-7.8,56.3,3.4,1017.1,1023.9,7.8,9.85,,,3.3,3.3,0.9,1.3,1.8
143,2017-12-07,2.2,-2.6,7.6,0,1.5,-5,60,4.3,1014.8,1021.5,2.1,4.1,,,5.1,4,2.1,1.4,2
143,2017-12-08,-0.3,-3.1,2.8,,4,-14.5,33.9,2,1015.7,1022.5,9.2,11.16,,,0.1,0.1,0.4,1.9,2.8
143,2017-12-09,1.7,-4.3,7,,1.6,-6.9,53,3.8,1013.8,1020.5,5.7,9.1,,,5.5,3.8,2.5,1.2,1.7
143,2017-12-10,4.1,-0.5,11,0,2.2,-2.6,62.6,5.1,1007.8,1014.5,2.4,5.89,,,8.1,6.5,5,1.9,2.7
143,2017-12-11,-1.6,-5.7,2.9,,5.1,-13.8,39.6,2.2,1014.4,1021.3,8.5,9.2,,,1.6,1.6,0.5,1.8,2.6
143,2017-12-12,-4.8,-8.2,-1,,4,-19.5,31.9,1.3,1021.3,1028.2,9.2,11.3,,,0.1,0.1,-3.1,1.9,2.7
143,2017-12-13,-3.3,-7,1.8,,3.4,-21.5,25,1.1,1023,1029.9,9.1,11.4,,,0,0,-2.5,2.1,2.9
143,2017-12-14,-2.8,-10.2,3.7,,0.7,-16,37.5,1.8,1024,1030.9,7.5,9.07,,,4.4,2.6,-3.5,1,1.5
143,2017-12-15,0.6,-6.5,6.5,,1.5,-15.1,34.1,2,1018.9,1025.7,6.8,9.14,,,5.8,2.8,-0.3,2.1,3.1
143,2017-12-16,-0.2,-4.4,3,,4.5,-13.4,37.9,2.4,1018.2,1025,7.2,8.68,,,3.9,2.3,1,2.3,3.3
143,2017-12-17,-3.2,-6.9,1.1,,3.8,-16.7,35.5,1.7,1022.8,1029.7,9.2,11.05,,,0,0,-1.8,1.7,2.5
143,2017-12-18,0.3,-6.8,7.7,,1.4,-9.4,49.4,3.1,1021,1027.8,8.7,9.88,,,2,2,0,1.6,2.3
143,2017-12-19,0.3,-2.9,3,0,3.3,-12.8,38,2.4,1022.8,1029.7,8.5,9.89,,,1.8,1.8,0.6,1.8,2.6
143,2017-12-20,-0.4,-5.8,5.7,,1.5,-11.6,44.3,2.5,1024.6,1031.5,9,10.36,,,2.1,2.1,-0.6,1.3,1.9
143,2017-12-21,0.7,-5.8,7.8,,2,-11,45.1,2.7,1023.5,1030.3,9,10.68,,,0.9,0.9,0.8,2,2.8
